,0,1,2,3
0,0.5046229,0.45851335,0.5063084,0.5042605
1,0.45356092,0.46366212,0.46178266,0.4628801
2,0.16082227,0.1604794,0.16067144,0.16081995
3,0.15388021,0.15401515,0.15391311,0.15401104
4,0.84679615,0.8467833,0.84687877,0.8467684
5,0.8406983,0.8406103,0.84060585,0.8409638
6,0.55005926,0.5486585,0.54823226,0.553549
7,0.5403841,0.5434853,0.5406356,0.53920156
8,0.71001804,0.0014296197,0.71001816,0.7100183
9,0.45816466,0.4544741,0.45640796,0.45677373
10,0.44345772,0.44473305,0.44397646,0.44179967
11,0.40323582,0.49505472,0.49491975,0.49497017
12,0.8587435,0.85872203,0.8589859,0.85871506
13,0.8443936,0.8450455,0.84449196,0.84438527
14,0.56086236,0.55682176,0.5571672,0.55699867
15,0.6640487,0.6632782,0.66332585,0.6633096
