,Rank1,Rank2,Rank3,Rank4,Rank5,TotalNum
0,0.1794871794871795,0.2564102564102564,0.2564102564102564,0.3076923076923077,0.0,39
1,0.21045576407506703,0.2613941018766756,0.31769436997319034,0.21045576407506703,0.0,746
2,0.4956063268892794,0.30579964850615116,0.19859402460456943,0.0,0.0,569
3,0.5106732348111659,0.26436781609195403,0.22495894909688013,0.0,0.0,609
4,0.0,0.0,0.1891891891891892,0.2972972972972973,0.5135135135135135,111
5,0.0,0.0,0.18380526577247888,0.31495280675608545,0.5012419274714357,2013
6,0.0,0.20041322314049587,0.3305785123966942,0.2665289256198347,0.2024793388429752,484
7,0.0,0.2128146453089245,0.2974828375286041,0.2906178489702517,0.19908466819221968,437
8,0.28205128205128205,0.20512820512820512,0.15384615384615385,0.358974358974359,0.0,39
9,0.2098092643051771,0.2779291553133515,0.30517711171662126,0.20708446866485014,0.0,734
10,0.18228279386712096,0.3049403747870528,0.31175468483816016,0.2010221465076661,0.0,587
11,0.1734006734006734,0.27441077441077444,0.3265993265993266,0.2255892255892256,0.0,594
12,0.0,0.0,0.1827956989247312,0.26881720430107525,0.5483870967741935,93
13,0.0,0.0,0.19698443579766536,0.29571984435797666,0.507295719844358,2056
14,0.0,0.19290465631929046,0.2926829268292683,0.30155210643015523,0.21286031042128603,451
15,0.0,0.15753424657534246,0.2990867579908676,0.3378995433789954,0.2054794520547945,438
